Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Con_5	CPM_Mel_1	CPM_Mel_2	CPM_Mel_3	CPM_Mel_4	CPM_Mel_5	CPM_Mel_6	CPM_Mel_7	CPM_Mel_8	CPM_Mel_9	CPM_Mel_10
ENSMUSG00000045996.13	Polr2k	-0.39512323827620777	3.562224605134541	57.05285526107833	1.1744237371910294e-6	0.02115019708307325	13.120230645990892	15.674480976896868	13.323418033658152	14.079348165132751	13.91922861130377	10.358232524199877	10.302569845644438	10.337847591277558	11.223507696464642	10.612319343023124	9.632530616384596	11.487021163951322	11.327369397266338	10.615596500262027	10.716196235831251
ENSMUSG00000051989.12	Smim11	-0.25821322480514824	4.289338308862913	45.801348710678596	4.5690361010316614e-6	0.038947021202430376	20.910945881480547	21.721488866461144	22.162578865049483	22.387303610752586	22.400378028312748	19.005645862721096	17.845814328509302	18.53996403182964	17.0005244621225	18.820209644724358	19.302910076055575	18.39415207162595	18.233158740151474	17.864131555507026	18.253353755461866
ENSMUSG00000068079.6	Tcf15	-0.6593676102980236	2.7152703844962454	43.19638957896045	6.4879262372864195e-6	0.038947021202430376	7.106020547334982	8.314635848150877	9.399692981674683	8.322205798013691	10.12947912097916	6.687747725834756	4.685954906022113	5.839179848260071	4.512396180140714	5.533083697499773	5.279913638450496	5.743510581975661	4.671563379010531	5.580592580167116	6.268527046029423
ENSMUSG00000028563.17	Tm2d1	-0.2646835574556045	4.176908102726266	40.05908464863548	1.0113767725692609e-5	0.04553471074299955	20.004188051221657	20.34897720731662	20.610335987341735	20.663010971095638	20.019457344800262	15.817301016683597	17.160064830067043	16.404232881104168	15.635309057302855	17.20760060897835	17.61863654981151	17.00675860636949	16.467651509956855	18.12913176182781	17.760826630416698
ENSMUSG00000035048.14	Anapc13	-0.3465862713945575	5.014956708470182	32.96617901171682	3.056827707844084e-5	0.11010082038112823	32.661787151162095	39.9420784284377	39.776223741260985	36.224395785189735	39.728972352101856	28.368492678889755	28.36063997129063	28.94597325557716	27.97973045456678	27.095694337145485	30.67648748361381	28.493779770320813	33.15403842896438	32.79767259405478	30.357580980056774
ENSMUSG00000046516.12	Cox17	-0.21759675647698346	5.626028914036996	30.194016667255795	4.930851620231001e-5	0.1479995113812335	52.64746994054173	52.71240430047805	53.617056067488384	56.402894774894165	56.789889202596655	45.75663676606012	45.226812159168134	48.46292068614292	43.456961938679996	47.67335814058705	45.759251533237624	50.0356740050555	47.1374806504173	46.78033053933384	47.86468151575323
ENSMUSG00000030724.8	Cd19	-1.966699543791629	-2.1005362564550705	28.680963628663452	6.483336857382749e-5	0.15666892186761533	0.6846946881546727	0.21880620653028623	0.10779464428526012	0.45601127660348995	0.5353549465886065	0.07776450843993903	0.09796421406318007	0.0908821766266159	0.21556032707678568	0.10621975684554538	0.03784884328638348	0.08950925582299732	0.12499166231466305	0.10911773201444082	0.059700257581232596
ENSMUSG00000027679.14	Dnajc19	-0.269190671820474	5.239667278771058	28.29762614699931	6.95958340241503e-5	0.15666892186761533	41.895912810329165	42.62742732676394	43.05318092753289	42.2237941430044	43.12424977651907	36.098284817819696	36.034503406239736	36.330150106489704	29.89103202131428	34.019291215168764	34.32890086074982	37.22093221306305	38.23182471049756	33.9356146564911	37.28281085947976
ENSMUSG00000024845.20	Tmem134	-0.2291109187353359	5.963986798083852	27.2683654516506	8.44572550312503e-5	0.16899896731753186	68.48797407730929	67.73046665778405	70.3683437894178	71.6365214839295	67.58151786277752	56.17708089701195	58.321362105613204	63.23127438796801	55.32715061637499	54.69351843392445	58.022276758025875	62.462542355148294	59.839758333144935	58.12857466883569	63.87927561191888
ENSMUSG00000076609.3	Igkc	-3.125408591003398	-0.18434092138938166	26.342125105464774	1.0094517491004577e-4	0.174988002150962	7.772209973647636	0.3182635731349618	0.3233839328557804	0.9120225532069799	1.197504485790304	0.21774062363182928	0.2938926421895402	0.11360272078326987	0.4886034080407142	0.19312683062826433	0.26494190300468434	0.28344597677282485	0.12499166231466305	0.29617670118205364	0.10447545076715704
