Geneid	GeneSymbol	logFC	logCPM	F	PValue	FDR	CPM_Con_1	CPM_Con_2	CPM_Con_3	CPM_Con_4	CPM_Unloading_1	CPM_Unloading_2	CPM_Unloading_3	CPM_Unloading_4
ENSMUSG00000015488.15	Cacfd1	1.4414231119600818	3.981074997423794	182.55824543279368	1.7134788351596424e-8	1.6974560582547183e-4	7.550183902778559	8.705741617569824	7.9238034331162615	9.532190878442803	23.972599892928827	22.201016407891593	23.182654064345044	22.221496025793193
ENSMUSG00000039084.9	Chad	-2.5087595605649904	3.4436418990564155	167.60677084714987	2.743267201405557e-8	1.6974560582547183e-4	20.416769488578705	19.357888881344284	14.022228064886368	20.347561298214444	2.7298641239329946	2.725909245170864	4.5804437465843035	2.954770874103649
ENSMUSG00000031167.17	Rbm3	1.5661350861538932	6.323411269543664	156.88193688550928	3.942071663387641e-8	1.6974560582547183e-4	34.847002628208735	39.52972921473778	40.614678329951936	46.469430532408666	108.44149899209688	134.5993409504369	130.90098081224937	104.10507792047376
ENSMUSG00000021377.16	Dek	2.2287105230063813	3.313056154933269	130.5991164611665	1.0683795861496538e-7	3.0059433830546177e-4	3.127295107659758	3.857422098841914	2.1987517379851407	4.582784076174424	18.763893633470467	16.355455471025184	14.831913084177744	14.571472803798816
ENSMUSG00000041028.17	Ghitm	1.371540871270537	7.395932156893527	121.21282729390977	1.5965895559236345e-7	3.0059433830546177e-4	87.34088479249753	94.45375763127585	79.98478020444058	113.5155615668405	233.2935604763427	266.8059393412238	247.03236750285959	223.87448910503124
ENSMUSG00000056383.11	AI987944	1.9192627363675565	1.7540694674531234	119.99656865828872	1.685404279145923e-7	3.0059433830546177e-4	1.2062423986687638	1.4863461298289944	1.203090573614511	1.5123187451375601	5.710750236273621	5.845560936866409	4.455805821507179	4.492870781171302
ENSMUSG00000046753.11	Ccdc66	1.9357437287925514	2.6191653213280452	115.48995919911071	2.069035750266043e-7	3.0059433830546177e-4	1.8317014202007154	2.866524678955918	2.074294092438812	3.162121012560353	9.005413834123786	10.994500622189152	9.067409049360764	9.02621787568649
ENSMUSG00000026158.12	Ogfrl1	1.497180333166512	2.5511204318624103	110.44592422159535	2.626068434589481e-7	3.0059433830546177e-4	3.440024618425734	2.7249679046864896	2.6965823201704557	3.162121012560353	7.499281903677996	8.238303496516389	8.600016830321549	9.592886262500887
ENSMUSG00000076617.10	Ighm	-2.137217123525953	5.002269984070062	107.61478673581627	3.015269341010595e-7	3.0059433830546177e-4	44.184212306792865	45.82900566972732	70.65045678846593	48.21088848135495	10.480168016018622	9.722409641109415	10.376107262670565	17.040527917775837
ENSMUSG00000085653.10	Gm15179	-1.9201342622673891	2.957746703165364	107.52926543596013	3.028038788937733e-7	3.0059433830546177e-4	12.464504786243893	11.359931135121599	15.640177456988642	9.623846559966292	2.541597632627271	3.3013789747069358	3.0847886456588167	4.088107647732445
ENSMUSG00000051985.13	Igfn1	2.8609175091211627	4.277583815872891	106.64416835801414	3.163984452885331e-7	3.0059433830546177e-4	7.014076170036886	4.034368066678699	2.406181147229022	5.224373846838844	44.87018042786416	24.805774131054864	32.03194674482084	33.473911135393394
ENSMUSG00000069049.12	Eif2s3y	1.626441134479201	3.6907250095854867	106.42260962320722	3.19912502557702e-7	3.0059433830546177e-4	5.629131193787565	5.874606132181263	5.061277585550701	8.478150540922686	19.89349258130481	21.201516351328944	17.200033660643097	18.902438331594574
ENSMUSG00000021815.5	Mss51	3.5793191047900828	6.9381720981882316	104.26646758107458	3.566092131138738e-7	3.0059433830546177e-4	9.962668700116087	27.42662501470168	22.609805607583052	15.44398233670781	158.55176342797037	311.54113884252786	294.92449021374443	138.8742310828715
ENSMUSG00000034570.13	Inpp5j	-2.2752583425997255	0.9074957724526352	104.12439404443893	3.5919570187195807e-7	3.0059433830546177e-4	3.440024618425734	2.9726922596579888	3.111441138658218	2.795498286466399	0.6275549710190792	0.8177727735512592	0.43623273776993365	0.6476210135021696
ENSMUSG00000039601.17	Rcan2	-1.1215186138417121	4.942475723326326	103.54799941138032	3.699170400953511e-7	3.0059433830546177e-4	42.263159597801874	40.76835098959528	45.302582978863654	40.05353282576447	16.128162755190335	21.413531514842234	19.25655942441564	20.60244349203777
ENSMUSG00000037887.12	Dusp8	-1.3129294674030274	5.0021667891887756	103.40036174900389	3.727232068365816e-7	3.0059433830546177e-4	44.13953666239773	49.651038575001884	43.062345359029734	45.82784076174425	20.9917137805882	20.50489509978528	14.208723458792125	17.809577871309664
ENSMUSG00000026234.13	Ncl	1.9324781449504644	6.5665791414989645	101.96684292341446	4.0130752541630225e-7	3.0059433830546177e-4	34.04284102909622	37.72488034280257	32.815332542382	52.610361194482394	199.59385853261813	153.37782686161395	122.92415360731344	123.9384714589777
ENSMUSG00000031337.17	Mtm1	1.681844460546642	2.2804715667282838	101.14507984893905	4.1884951923659327e-7	3.0059433830546177e-4	1.787025775805576	2.4418543561476334	1.8668646831949307	2.8871539679898874	7.248259915270364	7.723409527984115	6.917404841780376	6.961925895148323
ENSMUSG00000063406.12	Tmed5	2.0441962622987875	3.444979304223993	99.74794277892904	4.507794143345222e-7	3.0648255128280837e-4	3.3953489740305947	4.14053564738077	2.986983493111889	6.278414184358962	17.885316674043757	19.959713250751104	15.392783747024803	15.90719114414704
ENSMUSG00000078532.10	Nkain1	-1.264992836039509	3.9419531554698204	97.60797865895448	5.053882829119105e-7	3.1211652018624773e-4	22.3378221975697	22.047467592463416	20.120652696656474	22.180674928684216	7.7189261435346745	10.207015729139792	7.696391873512401	10.48336515606637
ENSMUSG00000020863.16	Luc7l3	1.2692967083327011	3.1147772038776975	97.25615222991811	5.150906562373313e-7	3.1211652018624773e-4	4.824969594675055	4.49442758305434	4.604932885214162	6.140930662073729	12.268699683422998	12.175727961763194	11.591327032172522	12.264322943197337
ENSMUSG00000021282.18	Eif5	1.93012258385262	5.675425316724582	96.43363076857514	5.386373036959445e-7	3.1211652018624773e-4	16.217258915435604	21.76435404392456	15.391262165895984	31.392070921794808	82.24107895205033	84.2608835562816	81.4197245566312	74.96213231287614
ENSMUSG00000032238.18	Rora	2.1464284430641998	5.499668618950921	95.86311164084985	5.557114076702041e-7	3.1211652018624773e-4	13.44736896293696	20.34878630123028	10.91078692622815	21.722396521066774	92.56435822531418	77.23409527984116	64.62476415248874	59.78351480891903
ENSMUSG00000031245.9	Hmgn5	2.851811291748411	0.6383106678640608	93.04419415694258	6.49975798841155e-7	3.244976664846958e-4	0.2680538663708364	0.28311354853885606	0.24891529109265742	0.5957619299026752	2.353331141321547	3.089363811193646	2.212323170118949	2.3881024872892502
ENSMUSG00000021702.8	Thbs4	-1.4752406772605138	5.477375401156251	91.43571560513668	7.12129730454989e-7	3.244976664846958e-4	60.53549815541389	61.71875358147062	82.47393311536716	57.284800952180305	18.45011614796093	21.989001244378304	26.610197003965954	27.24055888043501
ENSMUSG00000066551.13	Hmgb1	1.2485326417431606	5.886641621046133	90.78266595343942	7.393340125392224e-7	3.244976664846958e-4	32.30049089768578	33.61973388898916	29.3305184670848	44.682144742700636	78.50712687448681	90.68191422268409	80.54725908109133	82.6526318482144
ENSMUSG00000001366.15	Fbxo9	1.5240888392552425	3.7395517527639015	90.77069933039085	7.398437511158019e-7	3.244976664846958e-4	5.763158126972983	7.785622584818542	5.4346505221896875	8.294839177875708	19.79935933565195	15.992000905002403	21.562361038342434	21.209588192196055
ENSMUSG00000025150.11	Cbr2	-1.987636356630097	4.606520338956067	90.70459660545974	7.426669364052796e-7	3.244976664846958e-4	38.95716191256156	39.28200485976628	51.35952172878498	25.938557871147243	7.875814886289444	9.116652031071446	9.22320645570717	13.114325523418934
ENSMUSG00000040359.15	Ufl1	1.185979810924306	3.9360696628926397	90.08783234938056	7.6962557211803e-7	3.244976664846958e-4	8.622399368261904	9.519693069619034	8.048261078662591	10.90702610129513	23.7843334016231	21.534683036849827	20.37830075010976	18.659580451531262
ENSMUSG00000006005.19	Tpr	1.9095851623955913	5.16932837267232	89.9224801471286	7.770468132493686e-7	3.244976664846958e-4	13.223990740961263	12.52777452284438	12.321306909086543	22.272330610207703	71.7609109360317	55.69941224299132	48.982704555309695	49.90729435301095
ENSMUSG00000009535.14	Rnmt	1.2056850055110169	3.9881522410912056	89.77644868862374	7.836706845516832e-7	3.244976664846958e-4	8.89045323463274	10.19208774739882	7.9238034331162615	11.090337464342108	25.03944334366126	20.656334502294772	21.531201557073153	20.642919805381656
